bes,besedilo
jásen,"jásen -sna -o prid., jásnejši in jasnéjši (á) \n1. ki je brez oblakov, megle: jasno nebo / jasen zimski dan; prevladovalo bo jasno vreme / jasni vrhovi gor / pesn. jasne daljave, višave; pren., ekspr. obetajo se jasnejša duhovna obzorja\n // knjiž. čist, bister: jasen tolmun; jasna tekočina / jasno ozračje / jasne otroške oči\n // knjiž. svetel, bleščeč: skozi umazano okno ne bi prodrl niti najjasnejši sončni žarek; soba je bila polna jasne mesečine / jasne barve / pesn. sredi polja jasen grad / kot kletvica strela jasna, vsaj molčal bi; pren. bil je jasen zgled domoljubja\n2. ki se dobro vidi ali sliši: premalo jasni znaki; glasovi so bili tako jasni, da je razumel vsako besedo; obrisi predmetov postajajo vedno jasnejši; slika na zaslonu ni dovolj jasna / jasna izgovarjava, pisava razločna\n // nav. ekspr. ki ni hripav ali zamolkel; čist: jasen smeh, zven; njen glas je bil jasen, a oster / jasna pesem zvonov\n3. vsebinsko opredeljen, izdelan: imeti jasen cilj pred seboj; jasna idejna orientacija mladine; misel je počasi postajala jasnejša; nejasna slutnja mu je prešla v jasno spoznanje / njegov položaj še ni jasen; razmere v deželi bodo šele čez čas jasne / brez jasne zavesti, da moramo sodelovati, tega ne bomo dosegli\n // podan tako, da se ne da dvomiti o tem, kaj izraža: dati jasen odgovor; vsaka jasnejša beseda bi pripeljala do sporov; jasno priznanje / publ. dati možnost za jasno soočenje dveh stališč odkrito\n // navedite same jasne primere, zglede\n4. nav. ekspr. razumljiv, pojmljiv brez dodatnih podatkov: to je jasen dokaz, da smo imeli prav; gre za jasen primer zanemarjenosti; njihova prednost je jasna kot beli dan / stvar je jasna, tako ne gre več naprej / kot podkrepitev jasna stvar, da gre za pomoto\n // v povedni rabi ki se lahko popolnoma pričakuje, predvideva: vsi ti pomisleki so v teh okoliščinah jasni; izdaja knjige je glede na ime avtorja že zdaj jasna\n5. ki je brez elementov, ki bi oteževali dostopnost, razumevanje: jasen spis; jasna glasba; preproste in jasne pesmi; jasno izražanje; jasno predavanje / precizen in jasen mislec\n // v povedni rabi, navadno z dajalnikom ki se popolnoma razume, dojame, spozna: da bi jim bil poskus jasen, ga je še enkrat ponovil; njegova teorija (nam) še ni popolnoma jasna; vam je zdaj vsebina jasna / po teh dogodkih so mu nekatere stvari postale jasne\n6. priseben, razumen: jasno in zmedeno govorjenje / bolnik ima le redko jasne trenutke / knjiž. telo je bilo pijano, duh pa je ostal jasen\n7. knjiž. ki ima pozitivne lastnosti v etičnem, zlasti pa v moralnem pogledu; čist: jasen značaj / jasna sreča; jasno veselje / hoditi jasna pota\n // veder, iskren: jasni obrazi mladine; jasen pogled, smeh / jasna pomladna lepota\n // srečen, vesel: spomini na jasno mladost; imel je malo jasnih ur\n8. star. spoštovan, cenjen, plemenit: bil je v službi jasnega kralja / v vljudnostnem nagovoru poslušajte me, jasni knez\n9. nar. dolenjsko bled, shujšan: po bolezni je bila nekam jasna\n● o tej stvari nima jasnih pojmov stvari ne razume pravilno, ne pozna je dobro; ko se je nehal opravičevati, mi je bil položaj precej jasen sem vedel, kaj pravzaprav hoče; vreči jasno luč na kaj popolnoma razkriti kaj; videti kaj v jasni luči čisto tako, kot je v resnici; imeti jasno podobo, sliko o čem pravilno, dobro kaj poznati; sčasoma bo postala stvar bolj jasna se bo ugotovilo, kakšna je v resnici, kakšna je njena prava vsebina\njásno \n1. prislov od jasen: jasno določiti cilj; njene oči so jasno in živo gledale v svet; jasno se izražati; zaradi razburjenja ni mogel jasno misliti; na površini so se jasno razločevale bele in črne pike; jasno sliši vsako besedo; jasno se zaveda svojih dolžnosti popolnoma\n // piše se narazen ali skupaj: jasno modre ali jasnomodre oči; jasno zeleni gozdovi svetlo\n // v povedni rabi: včeraj je bilo jasno in toplo; bilo je popolnoma jasno, da so vse že prej pripravili; jasno je kot enkrat ena, da se ji je zmešalo / kot podkrepitev kri ni voda, to je jasno\n2. v povedni rabi, navadno z dajalnikom izraža stanje razumevanja, dojemanja, spoznanja: vsem poklicanim mora biti jasno, da taka politika ne vodi k uspehu; počasi (jim) bo jasno, da je delovanje v takih razmerah res težko / ni mi jasno, kako si to dosegel\n3. v povedi rabi izraža popolno sprejemanje brez presenečenja, pomislekov: jasno je, da mu je to moralo vzeti veselje; jasno je, da ne bo šel, saj mu tudi ni potrebno; to je popolnoma jasno, da ga ne more ubogati / elipt.: jasno, da ne ve, saj mu ni nihče povedal; iz vas ne bo nič, jasno, saj drugega tudi nisem pričakoval; jasno, tajnica je kriva, vsega ne more biti kriv šef\n // v medmetni rabi izraža soglasje, pritrditev brez pridržka: hočeš požirek vina? Jasno, kar natoči mi ga; ga poznaš? Jasno, se je zlagal; naredili boste dobro kupčijo. Pa jasno\n● ta slika mi je še vedno jasno pred očmi dobro se je spominjam; jasno mi je pred očmi, kako sem jim storil krivico popolnoma se zavedam, spoznavam; ekspr. sčasoma bo še vse jasno se bo še vse razkrilo, ugotovilo; ekspr. to je treba povedati jasno in glasno brez olepšavanja in prikrivanja, odločno\njásni -a -o sam.: menjavalo se je jasno in oblačno; novica je prišla kot (strela) z jasnega popolnoma nepričakovano; glede njega, z njim je hotel priti na jasno izvedeti, spoznati, kakšen je v resnici, kaj namerava; hotel si je priti na jasno, kaj namerava z njim ugotoviti, izvedeti; glede njega, o njem, z njim si še zmeraj ni na jasnem ne ve, kakšen je; glede tega, o tem, s tem si nisem na jasnem tega ne razumem popolnoma; ni si na jasnem, kako naj se stvari loti ne ve; bil si je na jasnem, da bo moral oditi spoznal je, ugotovil je; ni si bil na jasnem sam s seboj ni vedel, kakšen je, kaj v resnici hoče; zastar. ni jih pričakoval, pa se ti na jasnem prikažejo na lepem; od doma sem šel v jasnem; kos jasnega med oblaki; v tej zmedi je kaj malo jasnega\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
jesénski,"jesénski -a -o prid. (ẹ́) \n1. nanašajoč se na jesen ž: lep jesenski dan; jesenski meseci / pisani jesenski gozdovi; nastopilo je jesensko deževje / jesenski pridelki; jesenske cvetlice; jesenska setev / (jesenski) podlesek trajnica, ki požene jeseni iz gomolja velik vijoličast cvet; jesenska hruška; jesenska žival rojena v jeseni; jesenska jabolka jabolka, ki so primerna za uživanje v jeseni\n // jesenski čas\n // nav. ekspr. značilen za jesen: sredi poletja smo še, pa imamo pravo jesensko vreme / blago v jesenskih barvah rumenih, rjavih; jesensko deževje dolgotrajno in enakomerno\n // pesn. jesenske misli\n2. ekspr., redko ostarel, prileten: bila je že precej jesenska\n♦ agr. jesenski dosevek; astr. jesensko enakonočje enakonočje 23. septembra; bot. jesenski jurček užitna goba s temno rjavim klobukom, Boletus edulis; jesenski svišč gozdna ali travniška rastlina z jajčasto suličastimi listi in modrimi zvonastimi cveti, Gentiana asclepiadea; jesensko resje resje z rožnatimi cveti, ki cvete jeseni, Calluna vulgaris; čeb. jesensko krmljenje čebel krmljenje čebel jeseni, pri katerem se jim da toliko hrane, kolikor je potrebujejo za čez zimo; gozd. jesenski les gostejša plast lesa v letnici; pozni les; šol. jesenski (izpitni) rok (izpitni) rok ob začetku šolskega leta\njesénsko prisl.: jesensko hladne sape; jesensko oblečen\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
jézero,"jézero stil. jezéro stil. jezêro -a s (ẹ̑; ẹ̑; ȇ) večja kotanja, napolnjena z vodo, zlasti s sladko: jezero presahne; napraviti jezero z umetno pregrado; reka se izliva v jezero; cesta je speljana ob jezeru; voziti se po jezeru; kopati se v jezeru; čisto, globoko jezero; breg, dno, gladina jezera / akumulacijsko, naravno, umetno jezero; ekspr. dežela tisočerih jezer Finska\n // Bohinjsko jezero / na tej strani jezero odteka jezerska voda\n♦ geogr. ledeniško jezero nastalo na svetu, ki ga je pokrival ledenik; podzemeljsko jezero v kraškem podzemlju; presihajoče jezero; grad. zajezitveno jezero\n // ekspr., s prilastkom kar je podobno jezeru: iz meglenega jezera so se dvigali vrhovi gora; jezera trave / pesn. Kot ptičje krilo nad temnečim jezerom spomina visi pobočje bele gore sanj (G. Strniša) \n // knjiž., ekspr., z rodilnikom velika količina, množina: potočila je jezero solz; jezero nadlog \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
jókati,"jókati tudi jokáti -am, in jókati tudi jokáti jóčem, in jókati se tudi jokáti se -am se, in jókati se tudi jokáti se jóčem se nedov., jókajte (se) tudi jokájte (se) in jóčite (se) (ọ́ á ọ́) \n1. izražati veliko čustveno prizadetost, zlasti žalost, ali telesno bolečino s solzami in glasovi: otrok je jokal in se oklepal matere; jokati ob slovesu; ekspr. jokati dan in noč; jokati iz usmiljenja, od ganjenosti, jeze, veselja, žalosti; joka zaradi hude bolečine; pog., ekspr. jokati za vsako figo; ekspr. jokati za prazen nič; joka, ker je bil tepen; glasno, silovito, tiho jokati; ekspr. bridko, krčevito, milo jokati; rad joka; jokal je kot otrok močno, brez obvladovanja; ekspr. jokala je, da bi se je kamen usmilil zelo, da bi si skoraj oči izjokala zelo, veliko, da bi skoraj utonila v solzah močno, silovito\n // jokala je brez solz / knjiž., z notranjim predmetom jokati bridke, debele, grenke solze / krilila je z rokami in jokala: Vrnite nam ga; pren., ekspr. njegovo srce joka\n● ekspr. včeraj je jokala, danes se pa smeje je bila žalostna; ekspr. obraz imajo veder, na dnu srca pa jokajo čutijo žalost, bolečino; ekspr. tak dim je, da vsi jokajo imajo solzne oči; knjiž., ekspr. jokajo krvave solze zelo trpijo\n // ekspr. žalovati, tožiti, tarnati: joka po izgubljeni sreči; še zmeraj joka za starimi časi; nikar ne jokaj več za njim / kar naprej joka, čeprav mu ni nič hudega; jokala je pred njim, da je otroci ne ubogajo / joka nad domovino, nad svojo hčerjo izraža bolečino zaradi njene nesrečne usode, položaja\n2. knjiž., ekspr. dajati joku podobne glasove: zunaj je jokala burja; harmonika, violina joka / preh., pesn. dež joka monotono pesem\n3. knjiž., ekspr. cediti se, solziti (se): v peči so jokala drva / trta joka na obrezanih mestih; preh. drevesa jokajo smolo / pesn. v dežju so jokale veje\njokáje: jokaje govoriti; jokaje je pritekel domov; pozdravil ga je, jokaje od veselja\njokajóč -a -e: jokajoč ga je objela; jokajoč glas; jokajoči otroci; prisl.: jokajoče govoriti\n♦ muz. jokajoče označba za izraz izvajanja lagrimoso; sam.: bibl. veseliti se z veselimi in jokati z jokajočimi\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
jútro,"jútro1 -a s (ú) \n1. del dneva ob sončnem vzhodu: bilo je že jutro, ko so prišli; jutro nastaja; prišlo, knjiž. napočilo je usodno jutro; pričakovati jutro; bedeti do jutra; že od jutra ga boli glava; ekspr. dela od (ranega) jutra do (poznega) večera ves dan; zaspal je šele proti jutru, redko na jutro, pod jutro; ob jasnih jutrih je že slana; v zgodnjem zimskem jutru; napadli so jih še pred jutrom; hladno, megleno, nedeljsko, pomladansko jutro / pesn. jutro se budi, drami; ekspr. jutro jo je zaščemelo v oči jutranja svetloba\n // knjiž., ekspr. peljati se v sivo jutro / drugo jutro je sklical posvet drugi dan zjutraj; neko jutro, tisto jutro je odšel; telovadi vsako jutro; vse jutro je bil nerazpoložen; nar. vstaja pozno v jutro zjutraj; ob jutrih, v jutrih je navadno megla; knjiž. bedeti do štirih v jutru zjutraj; zastar. vstal je na vse jutro navsezgodaj; star. v nedeljo jutro zjutraj\n // kot pozdrav dobro jutro!\n // ekspr., s prilastkom obdobje nastajanja, začetek: jutro človeške kulture; jutro leta\n2. zastar. vzhod: na jugu in jutru\n● ekspr. lahko se hvali s svojim srečnim zakonom, saj je šele dobro jutro je šele začetek zakona; vstopil je brez dobrega jutra brez (jutranjega) pozdrava\n♦ rel. zvoniti jutro zvoniti zgodaj zjutraj, zlasti ob nedeljah in praznikih\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
kalíti,"kalíti3 -ím nedov. (ī í) poganjati kal(i): pšenica kali; ekspr. vse že kali in brsti / semena so že začela kaliti / v topli kleti začne krompir kaliti poganjati cimo; pren., pesn. seme zla kali\n // knjiž. biti, nastajati: v njem kali sovraštvo \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
káplja,"káplja -e ž (á) \n1. tekočina v obliki kroglice: kaplja kane, pade; debele, drobne, težke, velike kaplje; kaplja olja; podobna sta si kot kaplja kaplji / deževne kaplje; potne kaplje; rosne, vodne kaplje / voda se nabira kaplja za kapljo; ekspr. ljudje so prihajali po kapljah v presledkih drug za drugim; vlaga sili iz zidu v kapljah; ekspr. popiti do zadnje kaplje vse\n // madež, lisa, ki ga povzroči takšna tekočina: na cesti so se poznale velike kaplje / strjena kaplja krvi / obrisati kaplje z okna\n● pomoč je zalegla toliko kot kaplja v morje nič; zelo malo; pesn. človek je kot kaplja na veji njegova usoda je negotova; je nepomemben, neznaten\n2. ekspr., z rodilnikom zelo majhna količina tekočine: privoščiti si vsaj kapljo vina; zadnja kaplja krvi ji je izginila z obraza / boriti, braniti se do zadnje kaplje krvi dokler bo še kdo živ; pri izviru ni bilo niti kaplje vode prav nič; pren., knjiž. rad bi zaužil vsaj kapljo sreče\n3. pog., navadno s prilastkom alkoholna pijača, zlasti vino; kapljica: v tej gostilni imajo dobro kapljo / vinska kaplja\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
kapljáti,"kapljáti -ám nedov. (á ȃ) \n1. nav. 3. os. padati v obliki kapelj: kri kaplja iz rane; brezoseb. iz pipe kaplja / znoj ji je kapljal s čela; pren., pesn. sončni žarki so kapljali skozi veje\n2. ekspr. v presledkih drug za drugim prihajati: skozi vrata avtobusa so začeli kapljati turisti / kapljati drug za drugim, eden po eden; pren. novice so le počasi kapljale\n3. preh., redko povzročati, da kaj pada v obliki kapelj; kapati: kapljati zdravilo na žličko\n● ekspr. v žep mu je začel kapljati denar začel je dobivati, služiti denar\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
katakómbe,"katakómbe -kómb ž mn. (ọ̑) podzemeljski hodniki z grobovi zlasti prvih kristjanov: katakombe ležijo, se razprostirajo pod mestom; ogledati si rimske katakombe; zbiranje kristjanov v katakombah / ekspr. delavci so se razkropili po katakombah rudnika rovih, hodnikih; pren., pesn. romati po tihih katakombah srca \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
kélih,"kélih -a m (ẹ́) \n1. rel. dragocena obredna posoda, zožena proti podstavku: zlat kelih; pren., pesn. kelih trpljenja\n2. boljši kozarec s tankim, navadno visokim podstavkom: kristalni kelihi; kelihi in navadni kozarci / kelih vina\n3. knjiž. kar je po obliki podobno kelihu: rože so dvigale svoje težke kelihe proti soncu / cvetni kelih\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
kímati,"kímati -am nedov. (ȋ) \n1. z glavo delati gibe, navadno navzdol in navzgor: kimati od zaspanosti / pri hoji kima z glavo; pren., pesn. klas trudno kima\n2. z gibi glave navzdol in navzgor izražati soglasje: ob njegovem predlogu je navdušeno kimal; boječe kima, da razume\n // z gibi glave izražati kaj: kima mu, naj pride bliže; ženske so si skrivaj kimale / kima v pozdrav\n● slabš. ta človek na vse samo kima nekritično, neprizadeto ali iz strahu pritrjuje vsemu\n3. ekspr. biti v stanju med budnostjo in spanjem; dremati: na vozu je vse kimalo; oče kima za pečjo\n4. ekspr., redko počasi, okorno stopati: junca kimata po hribu navzgor\nkimáje: pozdravljali so ga, kimaje z glavo; prijazno kimaje se je poslovila\nkimajóč -a -e: kimajoč z glavo, je podpisal; kimajoči cvet; kimajoča glava\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
kopáti,"kopáti kópljem tudi -ám nedov., kôplji kopljíte tudi kôpaj kopájte; kôpal (á ọ́, ȃ) \n1. delati v kaj vdolbino, jamo z odstranjevanjem zemeljskega materiala: delavci kopljejo na cesti / kopati jamo, jarek; sam si je moral kopati grob / konja nemirno kopljeta s kopiti / žarg., avt. avto koplje njegova kolesa delajo zaradi vrtenja na mestu vdolbino; pren., pesn. na licih so ji solze kopale globoke struge\n2. dobivati, jemati kaj iz zemlje z odstranjevanjem zemeljskega materiala: v rudniku koplje rudo, zlato / kopati premog\n // s kopanjem spravljati iz česa, navadno iz zemlje: kopati krompir / arheologi so dolgo kopali izkopavali\n3. rahljati, prekopavati zemljo: kopati njivo, polje; kopati z motiko\n // agr. globoko rahljati zemljo: v vinogradu že kopljejo / kopati trto\n● ekspr. sam sebi grob koplje nič ne pazi na zdravje; ekspr. sam sebi jamo koplje dela take stvari, ki ga spravljajo v nesrečo, so mu v pogubo; ekspr. kaj mislijo, da denar kopljemo da ga na zelo lahek način zaslužimo; pog., ekspr. kopati si kaj na glavo prevzemati nase neprijetno skrb za kaj; star. kopal je za starinami prizadevno jih iskal; preg. kdor drugim jamo koplje, sam vanjo pade nesreča, ki jo kdo pripravlja drugim, navadno zadene njega samega\nkopáti se nar., navadno s prislovnim določilom premikati se, pomagajoč si z nogami in rokami; lesti: zasulo ga je, pa se koplje ven; kopati se iz močvirja; kopljeta se s peči / kopati se na kozolec\n // počasi, navadno tudi s težavo premikati se: kopal se je po cesti navzgor; kopati se čez njive in senožeti\nkopajóč -a -e: konji, kopajoči s kopiti; kopajoče roke\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
kópje,"kópje -a s (ọ̄) \n1. pri primitivnih ljudstvih tanka lesena palica z zelo ostro kovinsko konico za bojevanje: kopje ga je zadelo v srce; sovražniki so metali kopja iz razdalje dvajset korakov / bojno kopje; pren., pesn. reko je razparalo kopje svetlobe\n // publ., v zvezi lomiti kopja zelo si prizadevati za kaj; bojevati se: lomiti kopja za pravico / zaradi tega se z njim ne splača lomiti kopja prepirati se\n2. šport. lesena ali kovinska, v sredini navadno z vrvico ovita palica za tekmovanje: vreči kopje; kopje za moške tekmovalce / metanje diska in kopja\n3. star. drog za zastavo: na kopju je visela zastava\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
kováč,"kováč -a m (á) \n1. kdor z udarci kladiva ali s strojnim stiskanjem oblikuje, obdeluje kovino: kovač kuje; kovač je z obema rokama vihtel kladivo; pesn. črni kovači / učiti se za kovača / kovač je podkoval konja / orodni, podkovski kovač; umetni kovač / kroparski kovači\n2. ekspr. kdor z določenim ravnanjem pripravlja, ustvarja kaj: kovači usode\n● preg. vsak je svoje sreče kovač\n // nav. slabš. kdor sestavlja, tvori kaj: besedni kovači; kovač verzov\n3. pog. bankovec ali kovanec za 10 par: dala mu je kovač(a); plačati je moral tri kovače\n♦ zool. užitna morska riba z bodicami in črno liso na obeh prsnih plavutih, Zeus faber\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
